combo raspberrypi3, https://raspberrypi.vn/shop/mach-raspberry-pi/raspberry-pi-3-official-combo, 1760
ban phim co 60%,
ban phim redswitch black,https://www.anphatpc.com.vn/ban-phim-co-dareu-dk87-black-red-switch_id23820.html,690k
